state,lga,report_date,children_targeted,children_vaccinated,vaccination_team,campaign_phase,vaccination_coverage_pct
Ekiti,Gbonyin,2025-06-25,69.0,307.0,Team B,Initial,444.9
Ekiti,Ido-Osi,2025-06-18,214.0,352.0,Team B,Initial,164.5
Ekiti,Ekiti South-West,2025-06-27,361.0,485.0,Team E,Initial,134.3
Ekiti,Ekiti West,2025-06-27,114.0,135.0,Team B,Initial,118.4
Ekiti,Irepodun/Ifelodun,2025-06-21,151.0,143.0,Team E,Initial,
Ekiti,Ekiti South-West,2025-06-17,577.0,216.0,Team A,Initial,37.4
Ekiti,Ido-Osi,2025-06-13,280.0,451.0,Team A,Follow-up,161.1
Ekiti,Ekiti East,2025-06-09,404.0,285.0,Team E,Initial,
Ekiti,Ikole,2025-06-13,90.0,586.0,Team C,Initial,651.1
Ekiti,Ikole,2025-06-03,159.0,362.0,Team B,Follow-up,227.7
Ekiti,Gbonyin,2025-06-17,380.0,179.0,Team E,Initial,47.1
Ekiti,Ikole,2025-07-01,565.0,171.0,Team E,Follow-up,30.3
Ekiti,Ado-Ekiti,2025-06-29,479.0,455.0,Team D,Initial,95.0
Ekiti,Ikere,2025-06-19,485.0,462.0,Team D,Initial,95.3
Ekiti,Ado-Ekiti,2025-06-26,460.0,346.0,Team B,Initial,75.2
Ekiti,Ado-Ekiti,2025-06-16,503.0,413.0,Team D,Initial,82.1
Ekiti,Ekiti West,2025-06-02,112.0,,Team D,Follow-up,48.2
Ekiti,Ekiti South-East,2025-06-05,502.0,,Team A,Initial,107.8
Ekiti,Efon,2025-06-30,555.0,484.0,Team D,Follow-up,87.2
Ekiti,Ise/Orun,2025-06-24,472.0,420.0,Team B,Initial,89.0
Ekiti,Ise/Orun,2025-06-08,131.0,475.0,Team D,Follow-up,362.6
Ekiti,Ise/Orun,2025-06-19,243.0,266.0,Team D,Follow-up,109.5
Ekiti,Ekiti East,2025-06-07,474.0,466.0,Team C,Follow-up,98.3
Ekiti,Ekiti East,2025-06-29,51.0,390.0,Team C,Follow-up,
Ekiti,Emure,2025-06-24,558.0,205.0,Team B,Initial,36.7
Ekiti,Ido-Osi,2025-05-31,182.0,57.0,Team B,Initial,31.3
Ekiti,Ikole,2025-06-02,277.0,526.0,Team D,Initial,189.9
Ekiti,Ado-Ekiti,2025-06-18,326.0,121.0,Team C,Initial,37.1
Ekiti,Efon,2025-06-19,273.0,303.0,Team A,Follow-up,111.0
Ekiti,Ekiti East,2025-06-20,115.0,112.0,Team A,Initial,97.4
Ekiti,Ekiti East,2025-06-29,356.0,533.0,Team A,Initial,149.7
Ekiti,Ise/Orun,2025-06-27,523.0,304.0,Team A,Follow-up,58.1
Ekiti,Ekiti East,2025-06-02,54.0,307.0,Team A,Follow-up,568.5
Ekiti,Ado-Ekiti,2025-06-03,370.0,411.0,Team E,Initial,111.1
Ekiti,Ijero,2025-06-15,592.0,172.0,Team C,Follow-up,104.63899816285767
Ekiti,Irepodun/Ifelodun,2025-06-28,420.0,90.0,Team B,Initial,21.4
Ekiti,Ikole,2025-06-02,580.0,124.0,Team B,Follow-up,21.4
Ekiti,Ikere,2025-06-01,434.0,461.0,Team D,Initial,106.2
Ekiti,Ikole,2025-06-17,166.0,472.0,Team D,Initial,284.3
Ekiti,Moba,2025-06-26,134.0,258.0,Team A,Initial,192.5
Ekiti,Moba,2025-06-16,217.0,381.0,Team E,Initial,175.6
Ekiti,Ikere,2025-06-22,397.0,283.0,Team B,Initial,71.3
Ekiti,Ikole,2025-06-20,592.0,82.0,Team B,Follow-up,13.9
Ekiti,Moba,2025-05-30,85.0,394.0,Team B,Initial,463.5
Ekiti,Irepodun/Ifelodun,2025-06-27,145.0,520.0,Team E,Follow-up,358.6
Ekiti,Ikole,2025-06-20,581.0,246.0,Team B,Initial,42.3
Ekiti,Ikere,2025-06-08,528.0,562.0,Team A,Initial,106.4
Ekiti,Moba,2025-06-05,374.0,357.0,Team A,Initial,95.5
Ekiti,Ekiti South-West,2025-06-29,568.0,127.0,Team E,Follow-up,22.4
Ekiti,Ido-Osi,2025-06-01,272.0,516.0,Team C,Follow-up,189.7
Ekiti,Ijero,2025-06-11,205.0,95.0,Team B,Initial,46.3
Ekiti,Ido-Osi,2025-06-16,163.0,471.0,Team E,Follow-up,289.0
Ekiti,Efon,2025-06-06,398.0,343.0,Team A,Initial,86.2
Ekiti,Ikere,2025-06-13,348.0,436.0,Team B,Initial,125.3
Ekiti,Ekiti South-East,2025-06-23,216.0,272.0,Team A,Initial,125.9
Ekiti,Ekiti South-East,2025-06-23,124.0,,Team A,Initial,424.2
Ekiti,Oye,2025-06-29,485.0,580.0,Team E,Initial,119.6
Ekiti,Ikole,2025-06-03,583.0,65.0,Team C,Initial,109.37340343815431
Ekiti,Oye,2025-06-08,273.0,64.0,Team C,Initial,23.4
Ekiti,Oye,2025-06-26,119.0,220.0,Team D,Initial,
Ekiti,Ijero,2025-06-23,528.0,403.0,Team B,Follow-up,76.3
Ekiti,Ekiti East,2025-06-15,479.0,505.0,Team D,Follow-up,105.4
Ekiti,Ikole,2025-06-06,285.0,209.0,Team C,Initial,73.3
Ekiti,Moba,2025-06-25,270.0,547.0,Team E,Initial,202.6
Ekiti,Emure,2025-06-15,490.0,112.0,Team A,Initial,22.9
Ekiti,Ekiti South-East,2025-06-24,556.0,300.0,Team D,Initial,54.0
Ekiti,Ado-Ekiti,2025-06-20,591.0,145.0,Team A,Initial,24.5
Ekiti,Ise/Orun,2025-06-22,366.0,509.0,Team C,Initial,139.1
Ekiti,Efon,2025-06-12,73.0,150.0,Team E,Initial,205.5
Ekiti,Moba,2025-06-07,393.0,320.0,Team E,Initial,81.4
Ekiti,Ido-Osi,2025-06-03,73.0,62.0,Team C,Initial,84.9
Ekiti,Ido-Osi,2025-06-09,475.0,487.0,Team B,Follow-up,102.5
Ekiti,Ise/Orun,2025-06-07,372.0,359.0,Team C,Initial,96.5
Ekiti,Ikole,2025-06-12,388.0,411.0,Team A,Initial,105.9
Ekiti,Ekiti South-West,2025-06-12,184.0,76.0,Team E,Follow-up,41.3
Ekiti,Ekiti South-West,2025-05-29,186.0,432.0,Team B,Initial,232.3
Ekiti,Ise/Orun,2025-06-29,504.0,46.0,Team C,Follow-up,9.1
Ekiti,Irepodun/Ifelodun,2025-06-09,429.0,300.0,Team E,Initial,69.9
Ekiti,Ijero,2025-06-14,588.0,270.0,Team D,Initial,45.9
Ekiti,Ise/Orun,2025-06-16,367.0,275.0,Team D,Initial,74.9
Ekiti,Ekiti South-East,2025-05-29,161.0,378.0,Team A,Follow-up,234.8
Ekiti,Moba,2025-06-07,371.0,65.0,Team D,Initial,17.5
Ekiti,Ikole,2025-06-24,314.0,532.0,Team D,Follow-up,169.4
Ekiti,Ado-Ekiti,2025-07-02,186.0,352.0,Team A,Initial,189.2
Ekiti,Irepodun/Ifelodun,2025-06-21,472.0,482.0,Team C,Initial,102.1
Ekiti,Moba,2025-06-18,247.0,305.0,Team C,Follow-up,123.5
Ekiti,Gbonyin,2025-06-06,95.0,583.0,Team B,Follow-up,613.7
Ekiti,Emure,2025-06-30,458.0,245.0,Team B,Initial,53.5
Ekiti,Emure,2025-06-01,583.0,69.0,Team B,Initial,11.8
Ekiti,Ekiti West,2025-06-27,444.0,380.0,Team B,Initial,85.6
Ekiti,Moba,2025-06-23,159.0,570.0,Team E,Initial,358.5
Ekiti,Ekiti South-East,2025-06-23,196.0,364.0,Team A,Follow-up,185.7
Ekiti,Ekiti East,2025-06-23,152.0,400.0,Team B,Initial,263.2
Ekiti,Efon,2025-06-23,133.0,167.0,Team B,Initial,125.6
Ekiti,Oye,2025-06-04,376.0,574.0,Team B,Initial,152.7
Ekiti,Ekiti East,2025-06-28,314.0,567.0,Team D,Initial,180.6
Ekiti,Ikole,2025-06-23,511.0,269.0,Team E,Follow-up,
Ekiti,Efon,2025-06-01,548.0,534.0,Team C,Initial,97.4
Ekiti,Ise/Orun,2025-06-10,154.0,519.0,Team E,Initial,337.0
Ekiti,Ise/Orun,2025-06-02,114.0,269.0,Team B,Initial,236.0
Ekiti,Ekiti South-East,2025-06-11,311.0,,Team E,Follow-up,179.1
Ekiti,Efon,2025-06-26,299.0,372.0,Team C,Initial,124.4
Ekiti,Gbonyin,2025-06-08,598.0,146.0,Team A,Initial,
Ekiti,Ekiti West,2025-06-05,467.0,200.0,Team B,Follow-up,42.8
Ekiti,Ekiti West,2025-06-19,543.0,397.0,Team D,Initial,73.1
Ekiti,Ijero,2025-06-01,480.0,80.0,Team A,Initial,16.7
Ekiti,Ekiti West,2025-06-04,354.0,73.0,Team A,Follow-up,20.6
Ekiti,Ijero,2025-05-29,357.0,207.0,Team D,Initial,58.0
Ekiti,Ise/Orun,2025-06-07,299.0,360.0,Team A,Initial,120.4
Ekiti,Moba,2025-07-02,193.0,461.0,Team E,Follow-up,238.9
Ekiti,Ekiti East,2025-06-04,114.0,205.0,Team D,Initial,179.8
Ekiti,Ikere,2025-06-21,359.0,,Team E,Initial,
Ekiti,Emure,2025-05-30,249.0,110.0,Team C,Initial,44.2
Ekiti,Ekiti South-East,2025-06-02,359.0,225.0,Team C,Initial,62.7
Ekiti,Ijero,2025-06-11,257.0,69.0,Team B,Initial,26.8
Ekiti,Irepodun/Ifelodun,2025-06-22,475.0,223.0,Team D,Initial,46.9
Ekiti,Irepodun/Ifelodun,2025-06-07,307.0,,Team C,Follow-up,152.4
Ekiti,Ido-Osi,2025-06-14,361.0,413.0,Team C,Initial,114.4
Ekiti,Ido-Osi,2025-06-20,198.0,,Team E,Initial,79.3
Ekiti,Efon,2025-06-21,384.0,,Team C,Initial,23.4
Ekiti,Emure,2025-06-28,280.0,494.0,Team A,Initial,176.4
Ekiti,Ado-Ekiti,2025-06-05,527.0,88.0,Team C,Initial,
Ekiti,Ise/Orun,2025-06-05,159.0,50.0,Team D,Follow-up,31.4
Ekiti,Ekiti South-West,2025-06-29,117.0,458.0,Team B,Follow-up,391.5
Ekiti,Ekiti West,2025-06-27,430.0,367.0,Team A,Initial,85.3
Ekiti,Oye,2025-06-28,247.0,327.0,Team C,Initial,132.4
Ekiti,Ise/Orun,2025-06-28,164.0,231.0,Team D,Follow-up,140.9
Ekiti,Ekiti West,2025-06-17,501.0,519.0,Team A,Follow-up,103.6
Ekiti,Gbonyin,2025-06-03,383.0,355.0,Team B,Initial,92.7
Ekiti,Oye,2025-06-07,281.0,461.0,Team E,Initial,164.1
Ekiti,Moba,2025-06-04,543.0,384.0,Team C,Initial,70.7
Ekiti,Emure,2025-06-19,344.0,542.0,Team E,Follow-up,157.6
Ekiti,Ekiti South-West,2025-06-14,527.0,574.0,Team C,Initial,108.9
Ekiti,Irepodun/Ifelodun,2025-06-28,428.0,577.0,Team E,Initial,134.8
Ekiti,Ikere,2025-06-08,194.0,478.0,Team E,Initial,246.4
Ekiti,Efon,2025-07-01,418.0,392.0,Team E,Follow-up,93.8
Ekiti,Ekiti West,2025-05-30,313.0,,Team E,Initial,151.8
Ekiti,Emure,2025-06-11,173.0,422.0,Team E,Initial,243.9
Ekiti,Ikere,2025-07-01,296.0,261.0,Team E,Initial,88.2
Ekiti,Ijero,2025-06-21,257.0,240.0,Team B,Initial,93.4
Ekiti,Ekiti South-East,2025-06-07,210.0,387.0,Team C,Initial,184.3
Ekiti,Ikere,2025-07-02,134.0,59.0,Team C,Initial,44.0
Ekiti,Ekiti West,2025-05-30,509.0,353.0,Team A,Follow-up,69.4
Ekiti,Ise/Orun,2025-07-01,235.0,456.0,Team A,Follow-up,194.0
Ekiti,Ido-Osi,2025-06-17,281.0,280.0,Team A,Follow-up,99.6
Ekiti,Gbonyin,2025-06-03,106.0,414.0,Team B,Initial,106.31726132276032
Ekiti,Ise/Orun,2025-06-14,274.0,54.0,Team A,Initial,19.7
Ekiti,Ekiti West,2025-07-01,212.0,54.0,Team E,Initial,25.5
Ekiti,Ekiti South-East,2025-06-21,387.0,72.0,Team E,Initial,18.6
Ekiti,Ijero,2025-06-08,502.0,179.0,Team D,Initial,35.7
Ekiti,Ido-Osi,2025-06-20,551.0,173.0,Team E,Initial,31.4
Ekiti,Ekiti East,2025-06-12,224.0,324.0,Team D,Initial,144.6
Ekiti,Ijero,2025-07-02,411.0,76.0,Team C,Initial,18.5
Ekiti,Irepodun/Ifelodun,2025-07-02,163.0,529.0,Team D,Initial,324.5
Ekiti,Moba,2025-06-30,382.0,174.0,Team E,Initial,45.5
Ekiti,Ise/Orun,2025-06-19,178.0,248.0,Team D,Follow-up,139.3
Ekiti,Ido-Osi,2025-06-12,551.0,567.0,Team E,Follow-up,102.9
Ekiti,Moba,2025-06-10,210.0,332.0,Team B,Initial,158.1
Ekiti,Ekiti West,2025-06-13,60.0,149.0,Team C,Initial,248.3
Ekiti,Gbonyin,2025-06-23,471.0,192.0,Team A,Initial,40.8
Ekiti,Ikere,2025-06-12,60.0,106.0,Team B,Follow-up,176.7
Ekiti,Ijero,2025-06-10,403.0,83.0,Team D,Initial,20.6
Ekiti,Ijero,2025-07-01,141.0,480.0,Team D,Follow-up,340.4
Ekiti,Ekiti South-West,2025-06-29,255.0,80.0,Team D,Initial,31.4
Ekiti,Moba,2025-06-20,535.0,233.0,Team C,Initial,43.6
Ekiti,Ise/Orun,2025-05-30,331.0,498.0,Team E,Follow-up,150.5
Ekiti,Gbonyin,2025-05-30,366.0,151.0,Team C,Initial,41.3
Ekiti,Ikole,2025-06-15,199.0,368.0,Team D,Initial,184.9
Ekiti,Ekiti East,2025-06-28,330.0,88.0,Team D,Initial,26.7
Ekiti,Ekiti East,2025-06-14,311.0,,Team C,Initial,26.0
Ekiti,Ido-Osi,2025-06-10,480.0,,Team E,Follow-up,8.8
Ekiti,Ise/Orun,2025-06-20,193.0,,Team E,Follow-up,150.3
Ekiti,Ise/Orun,2025-06-26,126.0,495.0,Team A,Initial,392.9
Ekiti,Efon,2025-06-20,582.0,363.0,Team E,Follow-up,62.4
Ekiti,Irepodun/Ifelodun,2025-06-21,97.0,482.0,Team D,Initial,496.9
Ekiti,Ekiti East,2025-06-03,238.0,71.0,Team B,Initial,29.8
Ekiti,Ijero,2025-06-12,383.0,458.0,Team D,Initial,119.6
Ekiti,Emure,2025-06-04,362.0,45.0,Team A,Initial,12.4
Ekiti,Ido-Osi,2025-06-12,115.0,524.0,Team E,Initial,455.7
Ekiti,Ekiti West,2025-06-28,60.0,546.0,Team A,Follow-up,910.0
Ekiti,Ekiti South-East,2025-06-10,60.0,587.0,Team E,Initial,978.3
Ekiti,Moba,2025-06-19,557.0,211.0,Team B,Initial,37.9
Ekiti,Moba,2025-06-11,158.0,550.0,Team C,Initial,348.1
Ekiti,Oye,2025-06-28,155.0,,Team D,Follow-up,51.6
Ekiti,Ekiti South-East,2025-05-29,413.0,501.0,Team B,Follow-up,113.39651892503387
Ekiti,Ise/Orun,2025-06-28,123.0,454.0,Team A,Initial,369.1
Ekiti,Ado-Ekiti,2025-06-20,358.0,311.0,Team C,Follow-up,86.9
Ekiti,Ijero,2025-06-03,554.0,244.0,Team A,Initial,44.0
Ekiti,Ikole,2025-06-05,599.0,516.0,Team A,Follow-up,86.1
Ekiti,Efon,2025-06-22,512.0,186.0,Team E,Initial,36.3
Ekiti,Ado-Ekiti,2025-06-10,340.0,,Team B,Initial,39.7
Ekiti,Ijero,2025-06-28,81.0,,Team C,Follow-up,401.2
Ekiti,Ekiti East,2025-06-09,508.0,288.0,Team E,Initial,56.7
Ekiti,Ekiti South-East,2025-06-25,288.0,89.0,Team E,Initial,30.9
Ekiti,Ikere,2025-06-19,386.0,301.0,Team B,Initial,78.0
Ekiti,Efon,2025-06-03,505.0,410.0,Team E,Initial,81.2
Ekiti,Gbonyin,2025-06-23,175.0,214.0,Team B,Initial,122.3
Ekiti,Irepodun/Ifelodun,2025-06-27,392.0,156.0,Team E,Initial,39.8
Ekiti,Moba,2025-06-23,105.0,478.0,Team E,Initial,455.2
Ekiti,Ekiti South-West,2025-06-03,520.0,218.0,Team A,Initial,41.9
Ekiti,Efon,2025-06-08,356.0,557.0,Team A,Follow-up,
Ekiti,Ido-Osi,2025-06-08,334.0,139.0,Team B,Follow-up,41.6
Ekiti,Emure,2025-06-06,177.0,487.0,Team D,Initial,275.1
Ekiti,Ado-Ekiti,2025-05-30,401.0,166.0,Team B,Initial,41.4
Ekiti,Oye,2025-06-07,341.0,416.0,Team C,Initial,
Ekiti,Ekiti South-East,2025-06-27,571.0,507.0,Team B,Initial,102.19432637728167
Ekiti,Ado-Ekiti,2025-06-07,180.0,114.0,Team D,Initial,63.3
Ekiti,Ekiti East,2025-06-28,547.0,242.0,Team D,Initial,44.2
Ekiti,Ekiti West,2025-06-20,334.0,228.0,Team A,Initial,68.3
Ekiti,Oye,2025-06-07,120.0,391.0,Team B,Initial,325.8
Ekiti,Ido-Osi,2025-06-06,228.0,306.0,Team E,Initial,134.2
Ekiti,Ido-Osi,2025-05-30,231.0,577.0,Team D,Follow-up,
Ekiti,Efon,2025-05-29,499.0,409.0,Team B,Follow-up,82.0
Ekiti,Ijero,2025-06-04,546.0,112.0,Team B,Initial,
Ekiti,Moba,2025-07-01,394.0,477.0,Team C,Follow-up,121.1
Ekiti,Ikere,2025-06-06,83.0,353.0,Team A,Follow-up,425.3
Ekiti,Ekiti South-East,2025-06-25,157.0,56.0,Team E,Follow-up,35.7
Ekiti,Ekiti South-West,2025-06-10,481.0,318.0,Team D,Initial,66.1
Ekiti,Ado-Ekiti,2025-06-11,418.0,574.0,Team B,Initial,137.3
Ekiti,Ado-Ekiti,2025-05-30,504.0,318.0,Team E,Initial,63.1
Ekiti,Ido-Osi,2025-06-14,344.0,489.0,Team D,Initial,142.2
Ekiti,Ikere,2025-06-11,336.0,430.0,Team B,Initial,128.0
Ekiti,Ekiti South-West,2025-06-16,225.0,89.0,Team A,Initial,39.6
Ekiti,Ikere,2025-06-30,95.0,405.0,Team B,Initial,426.3
Ekiti,Ijero,2025-06-13,459.0,467.0,Team D,Initial,101.7
Ekiti,Ikole,2025-06-18,73.0,578.0,Team D,Follow-up,791.8
Ekiti,Ekiti South-East,2025-06-14,279.0,337.0,Team A,Initial,120.8
Ekiti,Oye,2025-07-02,537.0,138.0,Team E,Initial,25.7
Ekiti,Ado-Ekiti,2025-06-24,363.0,264.0,Team B,Initial,72.7
Ekiti,Efon,2025-06-06,340.0,413.0,Team E,Follow-up,121.5
Ekiti,Emure,2025-06-01,570.0,383.0,Team B,Initial,67.2
Ekiti,Emure,2025-06-20,239.0,417.0,Team E,Initial,174.5
Ekiti,Ekiti South-West,2025-06-27,405.0,80.0,Team D,Follow-up,19.8
Ekiti,Irepodun/Ifelodun,2025-07-01,253.0,249.0,Team C,Follow-up,98.4
Ekiti,Emure,2025-06-24,555.0,232.0,Team C,Initial,41.8
Ekiti,Moba,2025-06-30,430.0,67.0,Team D,Initial,15.6
Ekiti,Ise/Orun,2025-06-06,105.0,159.0,Team C,Initial,151.4
Ekiti,Gbonyin,2025-07-02,444.0,196.0,Team E,Initial,44.1
Ekiti,Ekiti East,2025-06-07,230.0,,Team C,Initial,88.3
Ekiti,Ikere,2025-07-01,71.0,164.0,Team B,Initial,231.0
Ekiti,Irepodun/Ifelodun,2025-06-30,459.0,519.0,Team D,Initial,113.1
Ekiti,Ido-Osi,2025-05-30,,313.0,Team E,Follow-up,64.0
Ekiti,Ise/Orun,2025-06-26,106.0,267.0,Team A,Follow-up,251.9
Ekiti,Ekiti South-West,2025-06-09,187.0,564.0,Team A,Initial,301.6
Ekiti,Ikole,2025-05-29,364.0,292.0,Team E,Initial,80.2
Ekiti,Ekiti West,2025-06-07,216.0,326.0,Team B,Follow-up,150.9
Ekiti,Emure,2025-06-09,474.0,180.0,Team E,Initial,38.0
Ekiti,Ise/Orun,2025-06-07,124.0,356.0,Team E,Initial,
Ekiti,Ekiti East,2025-06-28,443.0,277.0,Team E,Initial,62.5
Ekiti,Ikere,2025-06-05,584.0,375.0,Team B,Initial,64.2
Ekiti,Ekiti South-East,2025-06-01,518.0,382.0,Team A,Initial,73.7
Ekiti,Ado-Ekiti,2025-06-18,131.0,428.0,Team B,Initial,326.7
Ekiti,Oye,2025-07-01,394.0,568.0,Team B,Initial,144.2
Ekiti,Ekiti East,2025-07-01,517.0,547.0,Team C,Initial,105.8
Ekiti,Ise/Orun,2025-06-28,538.0,95.0,Team E,Initial,17.7
Ekiti,Ado-Ekiti,2025-06-04,350.0,326.0,Team D,Initial,93.1
Ekiti,Ado-Ekiti,2025-06-01,212.0,52.0,Team C,Follow-up,24.5
Ekiti,Ise/Orun,2025-06-13,559.0,239.0,Team D,Initial,42.8
Ekiti,Ido-Osi,2025-06-10,90.0,567.0,Team C,Initial,630.0
Ekiti,Ekiti South-West,2025-06-15,474.0,150.0,Team E,Initial,31.6
Ekiti,Gbonyin,2025-05-31,184.0,536.0,Team E,Initial,291.3
Ekiti,Oye,2025-06-04,199.0,164.0,Team B,Initial,82.4
Ekiti,Ado-Ekiti,2025-06-30,427.0,130.0,Team B,Initial,30.4
Ekiti,Ekiti South-East,2025-06-26,180.0,74.0,Team D,Initial,41.1
Ekiti,Moba,2025-05-30,260.0,512.0,Team D,Follow-up,196.9
Ekiti,Ijero,2025-06-02,497.0,377.0,Team C,Initial,75.9
Ekiti,Ijero,2025-06-26,73.0,568.0,Team B,Initial,778.1
Ekiti,Ado-Ekiti,2025-06-18,314.0,64.0,Team C,Initial,20.4
Ekiti,Ido-Osi,2025-06-30,302.0,309.0,Team C,Initial,102.3
Ekiti,Moba,2025-06-30,511.0,214.0,Team E,Initial,41.9
Ekiti,Emure,2025-06-10,591.0,348.0,Team E,Initial,58.9
Ekiti,Ado-Ekiti,2025-06-15,204.0,233.0,Team E,Follow-up,114.2
Ekiti,Gbonyin,2025-06-26,384.0,,Team E,Initial,
Ekiti,Irepodun/Ifelodun,2025-06-30,599.0,471.0,Team D,Follow-up,78.6
Ekiti,Ijero,2025-07-02,461.0,471.0,Team A,Initial,102.2
Ekiti,Ise/Orun,2025-06-28,516.0,244.0,Team D,Initial,47.3
Ekiti,Moba,2025-06-30,,42.0,Team D,Initial,44.2
Ekiti,Efon,2025-06-13,53.0,101.0,Team C,Follow-up,190.6
Ekiti,Ikere,2025-07-01,517.0,520.0,Team B,Initial,100.6
Ekiti,Efon,2025-06-14,129.0,552.0,Team D,Initial,427.9
Ekiti,Ekiti South-West,2025-06-10,579.0,423.0,Team E,Initial,73.1
Ekiti,Emure,2025-06-26,173.0,348.0,Team E,Initial,201.2
Ekiti,Irepodun/Ifelodun,2025-06-06,114.0,451.0,Team E,Follow-up,395.6
Ekiti,Ado-Ekiti,2025-06-24,145.0,51.0,Team A,Initial,35.2
Ekiti,Ekiti South-East,2025-06-05,377.0,581.0,Team C,Follow-up,154.1
Ekiti,Ekiti East,2025-06-23,137.0,377.0,Team B,Initial,275.2
Ekiti,Ise/Orun,2025-06-26,224.0,583.0,Team D,Initial,260.3
Ekiti,Ekiti South-East,2025-06-18,541.0,545.0,Team B,Initial,100.7
Ekiti,Emure,2025-06-02,,221.0,Team E,Follow-up,45.3
Ekiti,Oye,2025-06-13,442.0,52.0,Team C,Initial,11.8
Ekiti,Ado-Ekiti,2025-06-25,380.0,479.0,Team C,Initial,126.1
Ekiti,Ekiti South-West,2025-06-02,169.0,233.0,Team B,Initial,101.70581679891193
Ekiti,Ekiti South-East,2025-06-11,,162.0,Team C,Initial,170.5
Ekiti,Ekiti South-West,2025-06-17,68.0,170.0,Team C,Initial,
Ekiti,Ekiti South-West,2025-06-05,392.0,534.0,Team A,Initial,136.2
Ekiti,Efon,2025-06-07,358.0,398.0,Team C,Initial,111.2
Ekiti,Ikole,2025-06-21,222.0,67.0,Team B,Follow-up,30.2
Ekiti,Ido-Osi,2025-06-07,491.0,221.0,Team A,Follow-up,45.0
Ekiti,Efon,2025-06-14,547.0,202.0,Team C,Initial,36.9
Ekiti,Gbonyin,2025-06-06,146.0,475.0,Team A,Follow-up,325.3
Ekiti,Ikole,2025-06-27,329.0,324.0,Team D,Initial,98.5
